c_personid,c_name,c_name_chn,c_addr_type,c_addr_id,x_coord,y_coord
780,Xu Ji,許幾,1,12888,117.202271,28.287901
780,Xu Ji,許幾,10,12957,0.000000,0.000000
781,Xu Jiang,許將,1,13869,119.321577,26.073954
797,Xu Yuan,許元,1,12841,118.742500,30.946941
797,Xu Yuan,許元,2,12841,118.742500,30.946941
797,Xu Yuan,許元,3,12852,118.433945,29.865770
803,Xue Kui,薛奎,1,12268,111.216148,35.616409
805,Xue Liangpeng,薛良朋,1,12782,120.630691,27.790512
806,Xue Bi,薛弼,1,12780,120.653221,28.018291
818,Hu Yixiu,胡奕脩,14,12722,119.952301,31.782784
818,Hu Yixiu,胡奕脩,1,12723,119.952301,31.782784
826,Hu Songnian,胡松年,1,12723,119.952301,31.782784
826,Hu Songnian,胡松年,2,12723,119.952301,31.782784
826,Hu Songnian,胡松年,3,100199,119.022590,34.895960
829,Hu Ze,胡則,1,12672,120.168625,30.294125
829,Hu Ze,胡則,2,12672,120.168625,30.294125
829,Hu Ze,胡則,3,12789,120.025253,28.897268
833,Hu Zongyu,胡宗愈,14,12722,119.952301,31.782784
833,Hu Zongyu,胡宗愈,1,12723,119.952301,31.782784
843,Huang Zhong,黃中,1,100577,117.430760,27.262230
845,Huang Xin,黃莘,1,12634,116.265076,30.420059
853,Huang Shang,黃裳,1,13918,118.169182,26.642174
853,Huang Shang,黃裳,14,101126,0.000000,0.000000
863,Huang Ziyou,黃子游,3,11501,115.132830,33.664890
863,Huang Ziyou,黃子游,1,12770,121.406906,29.651657
863,Huang Ziyou,黃子游,2,12770,121.406906,29.651657
863,Huang Ziyou,黃子游,14,100130,115.132830,33.664890
869,Hong Zhongfu,洪中孚,1,12853,118.043030,29.708360
870,Hong Kuo,洪适,1,12876,116.663833,28.994167
874,Ren Zhuan,任顓,3,100093,118.875560,37.003660
874,Ren Zhuan,任顓,1,100129,115.565590,35.100710
874,Ren Zhuan,任顓,2,100129,115.565590,35.100710
898,Kou Zhun,寇準,1,11975,109.509590,34.729103
899,Kou Ping,寇平,1,11175,119.948280,36.788235
902,Kong Yanzhi,孔延之,1,100217,115.304890,27.674140
911,Gao Ruona,高若訥,2,11769,0.000000,0.000000
911,Gao Ruona,高若訥,1,12221,112.744682,37.678467
924,Gao Dan,高旦,5,11708,114.508812,37.750031
924,Gao Dan,高旦,1,100669,114.335660,34.818340
956,Guo Shenxi,郭申錫,1,11551,115.235770,36.292870
956,Guo Shenxi,郭申錫,14,100097,115.242370,36.289590
964,Lang Jian,郎簡,1,100512,119.633120,30.263390
971,Li Chang,李常,1,100185,115.641450,28.965360
975,Li Chaozheng,李朝正,1,12833,119.486000,31.430706
982,Li Qingchen,李清臣,1,11725,114.345497,36.098343
987,Li Zhaoshu,李昭述,5,11795,115.736023,38.245987
987,Li Zhaoshu,李昭述,1,100658,114.335660,34.818340
1013,Li Zhongshi,李中師,3,11556,114.745884,35.921836
1013,Li Zhongshi,李中師,1,100658,114.335660,34.818340
1013,Li Zhongshi,李中師,2,100658,114.335660,34.818340
1014,Li Zhongyan,李仲偃,14,12181,104.635605,35.007137
1014,Li Zhongyan,李仲偃,1,12723,119.952301,31.782784
1014,Li Zhongyan,李仲偃,2,12723,119.952301,31.782784
1014,Li Zhongyan,李仲偃,3,100658,114.335660,34.818340
1033,Li Xuan,李絢,1,13359,103.456825,30.416590
1033,Li Xuan,李絢,14,13360,103.696481,30.328339
1038,Li Hong(2),李宏,1,12841,118.742500,30.946941
1046,Li Ruogu,李若谷,1,11247,116.584183,34.703617
1048,Li Kuan,李寬,1,100062,115.983320,28.621480
1062,Li Mixun,李彌遜,1,12690,120.618622,31.312710
1062,Li Mixun,李彌遜,2,13874,119.534469,26.198015
1062,Li Mixun,李彌遜,3,13874,119.534469,26.198015
1063,Li Mida,李彌大,1,12690,120.618622,31.312710
1065,Li Mo,李謨,1,12724,120.297668,31.574614
1078,Li Shizhong,李師中,1,11206,116.282559,35.956072
1078,Li Shizhong,李師中,2,11206,116.282559,35.956072
1078,Li Shizhong,李師中,3,100339,116.684670,37.887320
1078,Li Shizhong,李師中,5,100357,115.643890,34.721060
1086,Li Suzhi,李肅之,1,11273,115.558300,35.610190
1086,Li Suzhi,李肅之,14,15370,0.000000,0.000000
1094,Li Tao,李燾,1,13307,103.512261,30.026190
1096,Li Di,李迪,3,11273,115.558300,35.610190
1096,Li Di,李迪,3,15370,0.000000,0.000000
1096,Li Di,李迪,1,100658,114.335660,34.818340
1096,Li Di,李迪,2,100658,114.335660,34.818340
1096,Li Di,李迪,5,101069,0.000000,0.000000
1097,Li Ding,李定,1,12435,119.437187,32.391270
1101,Li Zongyong,李宗詠,1,100659,114.431080,34.716760
1119,Li Ying,李迎,1,11480,112.457210,35.076790
1133,Liang Hao,梁顥,1,11206,116.282559,35.956072
1134,Liang Rujia,梁汝嘉,1,12811,119.913009,28.448732
1135,Liang Gu,梁固,1,11206,116.282559,35.956072
1137,Liang Shi,梁適,1,11206,116.282559,35.956072
1144,Liao Gang,廖剛,1,13922,117.806282,26.797091
1149,Lin Anzhai,林安宅,1,13870,119.321577,26.073954
1154,Lin Jiren,林積仁,1,100531,119.100150,25.412790
1156,Lin Zhiqi,林之奇,1,13870,119.321577,26.073954
1160,Lin Xiaoze,林孝澤,1,100531,119.100150,25.412790
1165,Lin Bao,林保,1,100584,121.637260,29.840310
1170,Lin Dasheng,林大聲,1,13870,119.321577,26.073954
1183,Liu Zhang,劉章,1,12803,119.184170,29.008960
1195,Liu Fengshi,劉奉世,14,100211,115.060840,27.833380
1195,Liu Fengshi,劉奉世,1,100658,114.335660,34.818340
1200,Liu Xiang,劉庠,1,11243,117.187683,34.269634
1201,Liu Yi,劉彝,1,13869,119.321577,26.073954
1206,Liu Guan(2),劉觀,1,13305,103.831459,30.050497
1216,Liu Mu(2),劉牧,1,12800,118.867645,28.956821
1229,Liu Shidao,劉師道,1,100667,114.988390,34.869990
1232,Liu Sui,劉隨,1,100508,114.988390,34.869990
1237,Liu Caishao,劉才邵,1,100179,114.966690,27.129050
1238,Liu Cen,劉岑,2,12833,119.486000,31.430706
1247,Liu Wenzhi,劉文質,1,11830,115.347960,38.831950
1251,Liu Ye,劉燁,1,100409,112.434110,34.650820
1254,Liu Yu(2),劉昱,1,11523,113.300227,33.500148
1260,Liu Yue,柳約,1,12710,121.227638,31.009476
1278,Lu Zhan,魯詹,1,12711,120.932022,30.517859
1286,Lu Shengzhi,陸升之,1,12756,120.578262,30.004515
1288,Lu Zai,陸宰,1,12756,120.578262,30.004515
1306,Lv Xidao,呂希道,5,12595,0.000000,0.000000
1306,Lv Xidao,呂希道,1,100658,114.335660,34.818340
1309,Lv Huiqing,呂惠卿,1,100228,118.591570,24.906690
1310,Lv Yihao,呂頤浩,3,11192,117.080930,36.614020
1310,Lv Yihao,呂頤浩,5,11601,117.093374,37.824689
1310,Lv Yihao,呂頤浩,1,12793,121.120598,28.843132
1310,Lv Yihao,呂頤浩,2,12793,121.120598,28.843132
1310,Lv Yihao,呂頤浩,3,101056,0.000000,0.000000
1313,Lv Guangwen,呂廣問,2,11388,112.144302,34.733059
1313,Lv Guangwen,呂廣問,1,12846,118.123146,30.298552
1313,Lv Guangwen,呂廣問,2,101098,0.000000,0.000000
1314,Lv Gongzhu,呂公著,5,12595,0.000000,0.000000
1314,Lv Gongzhu,呂公著,1,100658,114.335660,34.818340
1316,Lv Gongbi,呂公弼,5,12595,0.000000,0.000000
1316,Lv Gongbi,呂公弼,1,100658,114.335660,34.818340
1324,Lv Tao,呂陶,1,13291,104.077995,30.650385
1327,Lv Dafang,呂大防,1,11907,109.321556,34.153698
1327,Lv Dafang,呂大防,10,12928,114.931076,25.378399
1360,Mei Zhili,梅執禮,1,12791,119.883675,29.458708
1361,Mei Xun,梅詢,1,12841,118.742500,30.946941
1364,Meng Song,孟嵩,3,11780,0.000000,0.000000
1364,Meng Song,孟嵩,2,100677,120.743810,31.359920
1366,Mi Youren,米友仁,1,12690,120.618622,31.312710
1368,Ming Hao,明鎬,1,11154,119.097880,36.346300
1373,Moqi Xie,万俟卨,1,11348,112.589256,31.169827
1378,Nie Guanqing,聶冠卿,1,12852,118.433945,29.865770
1378,Nie Guanqing,聶冠卿,14,101098,0.000000,0.000000
1379,Nie Chang,聶昌,1,100513,116.455740,27.966630
1388,Pan Lianggui,潘良貴,1,12785,119.649918,29.104712
1391,Pang Ji,龐籍,1,11270,115.875175,34.962231
1397,Peng Cheng,彭乘,1,13292,104.077995,30.650385
1399,Peng He,彭合,1,100179,114.966690,27.129050
1400,Peng Ruli,彭汝礪,1,12876,116.663833,28.994167
1401,Peng Siyong,彭思永,1,100179,114.966690,27.129050
1411,Bao Zheng,包拯,1,12589,117.276459,31.864456
1416,Bi Zhongyan,畢仲衍,1,100494,113.657400,34.784070
1416,Bi Zhongyan,畢仲衍,14,101058,0.000000,0.000000
1417,Bi Zhongyou,畢仲游,1,100494,113.657400,34.784070
1417,Bi Zhongyou,畢仲游,14,101058,0.000000,0.000000
1422,Bian Gun,卞袞,1,13291,104.077995,30.650385
1435,Shao Kang,邵亢,1,12704,119.569855,31.995802
1438,Shao Shi,邵飾,1,12704,119.569855,31.995802
1443,Shen Qi,沈起,1,100584,121.637260,29.840310
1445,Shen Jichang,沈季長,2,12537,119.177627,32.267544
1445,Shen Jichang,沈季長,1,101092,0.000000,0.000000
1449,Shen Gou,沈遘,1,12672,120.168625,30.294125
1450,Shen Gua,沈括,3,12672,120.168625,30.294125
1450,Shen Gua,沈括,1,12690,120.618622,31.312710
1450,Shen Gua,沈括,2,12690,120.618622,31.312710
1453,Shen Liao,沈遼,1,12672,120.168625,30.294125
1460,Shen Yuqiu,沈與求,1,12719,120.084801,30.553133
1486,Sima Chi,司馬池,1,11938,111.220055,35.137451
1488,Sima Guang,司馬光,1,11938,111.220055,35.137451
1488,Sima Guang,司馬光,2,100409,112.434110,34.650820
1489,Su Anshi,蘇安世,14,100364,108.175670,34.314360
1489,Su Anshi,蘇安世,1,100658,114.335660,34.818340
1490,Su Qi,蘇耆,14,13437,104.932282,30.767679
1490,Su Qi,蘇耆,1,100658,114.335660,34.818340
1493,Su Zhe,蘇轍,1,13305,103.831459,30.050497
1504,Su Shide,蘇師德,2,11027,0.000000,0.000000
1504,Su Shide,蘇師德,3,12704,119.569855,31.995802
1504,Su Shide,蘇師德,1,100011,119.600750,32.069710
1504,Su Shide,蘇師德,2,100011,119.600750,32.069710
1504,Su Shide,蘇師德,14,100228,118.591570,24.906690
1505,Su Shunyuan,蘇舜元,14,13437,104.932282,30.767679
1505,Su Shunyuan,蘇舜元,1,100658,114.335660,34.818340
1514,Sun Changqing,孫長卿,1,12435,119.437187,32.391270
1520,Sun Jin,孫藎,1,100011,119.600750,32.069710
1521,Sun Jue,孫覺,1,100637,119.503980,32.840800
1524,Sun E,孫諤,1,100577,117.430760,27.262230
1525,Sun He,孫何,1,11486,114.346001,33.007538
1531,Sun Kang,孫抗,1,12857,117.930214,29.933117
1532,Sun Gu,孫固,1,100494,113.657400,34.784070
1535,Sun Lan,孫覽,1,100637,119.503980,32.840800
1541,Sun Bian,孫抃,3,13305,103.831459,30.050497
1541,Sun Bian,孫抃,1,100494,113.657400,34.784070
1541,Sun Bian,孫抃,2,100494,113.657400,34.784070
1555,Sun Yong,孫永,2,100599,113.955230,34.020810
1555,Sun Yong,孫永,5,101069,0.000000,0.000000
1558,Song Qi,宋祁,1,11032,114.760660,34.495470
1571,Song Minqiu,宋敏求,1,11814,114.772179,37.752926
1575,Song Shou,宋綬,1,11814,114.772179,37.752926
1583,Song Huan,宋㬇,3,11032,114.760660,34.495470
1583,Song Huan,宋㬇,1,12914,115.897720,28.674896
1583,Song Huan,宋㬇,2,12914,115.897720,28.674896
1590,Tang Pengju,湯鵬舉,1,12706,119.520790,31.721610
1593,Tang Jie,唐介,1,100395,112.304570,30.283420
1595,Tang Xun,唐詢,1,12672,120.168625,30.294125
1598,Tang Geng,唐庚,1,13307,103.512261,30.026190
1613,Tian Jizhong,田積中,1,12690,120.618622,31.312710
1613,Tian Jizhong,田積中,2,12690,120.618622,31.312710
1613,Tian Jizhong,田積中,3,100401,118.842480,34.152400
1617,Tian Kuang,田況,5,100033,115.430270,37.529460
1617,Tian Kuang,田況,1,100658,114.335660,34.818340
1630,Deng Wan,鄧綰,1,13294,103.923309,30.579893
1633,Di Fei,狄棐,3,100597,113.213720,28.286570
1633,Di Fei,狄棐,1,100610,113.359680,34.203140
1633,Di Fei,狄棐,2,100610,113.359680,34.203140
1634,Diao Zhan,刁湛,1,12704,119.569855,31.995802
1634,Diao Zhan,刁湛,2,12704,119.569855,31.995802
1634,Diao Zhan,刁湛,3,12830,118.768990,32.052563
1635,Diao Yue,刁約,1,12704,119.569855,31.995802
1640,Ding Du,丁度,1,100669,114.335660,34.818340
1641,Ding Wei,丁謂,1,100677,120.743810,31.359920
1645,Cai Chengxi,蔡承禧,1,100513,116.455740,27.966630
1646,Cai Qi,蔡齊,1,11175,119.948280,36.788235
1649,Cai Jing,蔡京,1,100022,118.688630,25.452890
